"Series";"V";"A";"Time";"Concentration"
"20220609_4_Trit_B";0.017341610478;0.1706851425;45;4156.59165844316
"20220609_4_Trit_C";0.017341610478;0.1706851425;0;809.712625487766
"20220609_4_Trit_C";0.017341610478;0.1706851425;15;2633.19165196655
"20220609_4_Trit_C";0.017341610478;0.1706851425;30;5045.60497596309
"20220609_4_Trit_C";0.017341610478;0.1706851425;45;6207.83688586855
"20220615_2_3Spp_A";0.017341610478;0.1706851425;0;626.966375674552
"20220615_2_3Spp_A";0.017341610478;0.1706851425;15;1441.99272009716
"20220615_2_3Spp_A";0.017341610478;0.1706851425;30;1855.17998420746
"20220615_2_3Spp_A";0.017341610478;0.1706851425;45;2060.66930085068
"20220615_2_3Spp_B";0.017341610478;0.1706851425;0;694.276168124226
"20220615_2_3Spp_B";0.017341610478;0.1706851425;15;2639.71874721479
"20220615_2_3Spp_B";0.017341610478;0.1706851425;30;1583.66442920495
"20220615_2_3Spp_B";0.017341610478;0.1706851425;45;4765.41713026413
"20220615_2_3Spp_C";0.017341610478;0.1706851425;0;644.369263625491
"20220615_2_3Spp_C";0.017341610478;0.1706851425;15;2302.33675701207
"20220615_2_3Spp_C";0.017341610478;0.1706851425;30;2931.37597876992
"20220615_2_3Spp_C";0.017341610478;0.1706851425;45;3391.95891631633
"20220615_2_Clover_A";0.017341610478;0.1706851425;0;726.532381800315
"20220615_2_Clover_A";0.017341610478;0.1706851425;15;1805.15835615701
"20220615_2_Clover_A";0.017341610478;0.1706851425;30;2557.13371630742
"20220615_2_Clover_A";0.017341610478;0.1706851425;45;3461.18229760864
"20220615_2_Clover_B";0.017341610478;0.1706851425;0;635.854886523761
"20220615_2_Clover_B";0.017341610478;0.1706851425;15;2728.51504618096
"20220615_2_Clover_B";0.017341610478;0.1706851425;30;3269.7281253135
"20220615_2_Clover_B";0.017341610478;0.1706851425;45;4517.78782854225
"20220615_2_Clover_C";0.017341610478;0.1706851425;0;568.610958889661
"20220615_2_Clover_C";0.017341610478;0.1706851425;15;5734.69752307123
"20220615_2_Clover_C";0.017341610478;0.1706851425;30;8201.33459636426
"20220615_2_Clover_C";0.017341610478;0.1706851425;45;10252.6413696009
"20220615_2_Clover_D";0.017341610478;0.1706851425;0;678.595483137875
"20220615_2_Clover_D";0.017341610478;0.1706851425;15;1653.08972394827
"20220615_2_Clover_D";0.017341610478;0.1706851425;30;2429.43776523859
"20220615_2_Clover_D";0.017341610478;0.1706851425;45;2795.66125634278
"20220615_2_Trit_A";0.017341610478;0.1706851425;0;614.410490299184
"20220615_2_Trit_A";0.017341610478;0.1706851425;15;851.491433831845
"20220615_2_Trit_A";0.017341610478;0.1706851425;30;1110.92943318521
"20220615_2_Trit_A";0.017341610478;0.1706851425;45;1355.47496583695
"20220615_2_Trit_B";0.017341610478;0.1706851425;0;649.175235660213
"20220615_2_Trit_B";0.017341610478;0.1706851425;15;1438.3814926269
"20220615_2_Trit_B";0.017341610478;0.1706851425;30;2518.57931461099
"20220615_2_Trit_B";0.017341610478;0.1706851425;45;2051.40152743639
"20220615_2_Trit_C";0.017341610478;0.1706851425;0;620.741340789542
"20220615_2_Trit_C";0.017341610478;0.1706851425;15;1626.40286631691
"20220615_2_Trit_C";0.017341610478;0.1706851425;30;2309.77705173197
"20220615_2_Trit_C";0.017341610478;0.1706851425;45;4127.91805883384
"20220615_3_3Spp_A";0.017341610478;0.1706851425;0;812.102924429996
"20220615_3_3Spp_A";0.017341610478;0.1706851425;15;2424.23282518166
"20220615_3_3Spp_A";0.017341610478;0.1706851425;30;2228.7689972696
"20220615_3_3Spp_A";0.017341610478;0.1706851425;45;1428.05583309689
"20220615_3_3Spp_B";0.017341610478;0.1706851425;0;771.992331496758
"20220615_3_3Spp_B";0.017341610478;0.1706851425;15;1913.89765747801
