Series;f0;f0.se;f0.p;f0.lo95;f0.up95;Method;Warning;Prefilter;Prefilter.p;SatCrit.Warning;LR.f0;LR.f0.se;LR.f0.p;LR.f0.lo95;LR.f0.up95;LR.Warning
20220630_2_3Spp_A;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220630_2_3Spp_B;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220630_2_3Spp_C;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220630_2_Clover_A;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220630_2_Clover_B;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220630_2_Clover_C;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220630_2_Clover_D;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220630_2_Trit_A;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220630_2_Trit_B;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220630_2_Trit_C;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220707_3_3Spp_A;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220707_3_3Spp_B;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220707_3_3Spp_C;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220707_3_Clover_A;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220707_3_Clover_B;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220707_3_Clover_C;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220707_3_Clover_D;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220707_3_Trit_A;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220707_3_Trit_B;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220707_3_Trit_C;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220707_4_3Spp_A;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220707_4_3Spp_B;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220707_4_3Spp_C;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220707_4_Clover_A;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220707_4_Clover_B;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220707_4_Clover_C;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220707_4_Clover_D;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220707_4_Trit_A;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220707_4_Trit_B;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220707_4_Trit_C;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220719_1_3Spp_A;0.000e+00;NA;NA;NA;NA;No flux;None;Noise;7.805e-01;NA;1.274e-01;7.104e-01;8.742e-01;-2.929e+00;3.184e+00;None
20220719_1_3Spp_B;4.034e+00;1.590e+00;1.265e-01;-2.806e+00;1.087e+01;LR;None;Signal;4.939e-05;NA;4.034e+00;1.590e+00;1.265e-01;-2.806e+00;1.087e+01;None
20220719_1_3Spp_C;7.402e+00;9.303e+00;5.721e-01;-1.108e+02;1.256e+02;HMR;None;Signal;4.029e-04;NA;3.749e+00;1.248e+00;9.530e-02;-1.622e+00;9.121e+00;None
20220719_1_Clover_A;2.678e+00;4.176e-01;2.346e-02;8.813e-01;4.475e+00;LR;None;Signal;4.680e-02;NA;2.678e+00;4.176e-01;2.346e-02;8.813e-01;4.475e+00;None
20220719_1_Clover_B;5.237e+00;3.689e+00;3.907e-01;-4.164e+01;5.211e+01;HMR;None;Signal;1.364e-04;NA;4.291e+00;6.751e-01;2.387e-02;1.386e+00;7.195e+00;None
20220719_1_Clover_C;4.073e+00;1.499e+00;1.130e-01;-2.377e+00;1.052e+01;LR;None;Signal;5.594e-05;NA;4.073e+00;1.499e+00;1.130e-01;-2.377e+00;1.052e+01;None
20220719_1_Clover_D;5.749e+00;6.082e-01;6.710e-02;-1.979e+00;1.348e+01;HMR;None;Signal;5.972e-03;NA;3.381e+00;4.100e-01;1.439e-02;1.617e+00;5.145e+00;None
20220719_1_Trit_A;0.000e+00;NA;NA;NA;NA;No flux;None;Noise;8.945e-02;NA;2.393e+00;4.559e-01;3.442e-02;4.318e-01;4.355e+00;None
20220719_1_Trit_B;7.292e+00;6.063e-01;5.281e-02;-4.120e-01;1.500e+01;HMR;None;Signal;4.662e-07;NA;5.495e+00;3.523e-01;4.085e-03;3.980e+00;7.011e+00;None
20220719_1_Trit_C;6.131e+00;3.956e-02;4.108e-03;5.628e+00;6.634e+00;HMR;None;Signal;3.360e-06;NA;5.150e+00;1.943e-01;1.420e-03;4.314e+00;5.986e+00;None
20220719_2_3Spp_A;7.072e+00;4.415e+00;3.553e-01;-4.902e+01;6.317e+01;HMR;None;Signal;3.106e-10;NA;6.568e+00;8.557e-01;1.655e-02;2.887e+00;1.025e+01;None
20220719_2_3Spp_B;6.365e+00;6.682e-01;1.084e-02;3.490e+00;9.240e+00;LR;None;Signal;1.632e-09;NA;6.365e+00;6.682e-01;1.084e-02;3.490e+00;9.240e+00;None
20220719_2_3Spp_C;8.666e+00;6.765e-01;4.960e-02;6.953e-02;1.726e+01;HMR;None;Signal;1.891e-12;NA;7.366e+00;2.890e-01;1.536e-03;6.122e+00;8.610e+00;None
20220719_2_Clover_A;7.696e+00;1.385e+00;1.133e-01;-9.899e+00;2.529e+01;HMR;None;Signal;7.152e-08;NA;5.808e+00;4.195e-01;5.176e-03;4.003e+00;7.614e+00;None
20220719_2_Clover_B;5.814e+00;9.173e-01;2.400e-02;1.867e+00;9.761e+00;LR;None;Signal;3.482e-08;NA;5.814e+00;9.173e-01;2.400e-02;1.867e+00;9.761e+00;None
20220719_2_Clover_C;6.122e+00;2.333e+00;1.197e-01;-3.918e+00;1.616e+01;LR;None;Signal;4.418e-11;NA;6.122e+00;2.333e+00;1.197e-01;-3.918e+00;1.616e+01;None
20220719_2_Clover_D;7.964e+00;1.562e+00;1.233e-01;-1.188e+01;2.780e+01;HMR;None;Signal;7.057e-05;NA;4.459e+00;6.103e-01;1.823e-02;1.833e+00;7.084e+00;None
20220719_2_Trit_A;1.038e+01;4.595e+00;2.653e-01;-4.801e+01;6.877e+01;HMR;None;Signal;3.911e-04;NA;3.856e+00;1.087e+00;7.107e-02;-8.199e-01;8.533e+00;None
20220719_2_Trit_B;1.273e+01;1.988e+00;9.865e-02;-1.253e+01;3.799e+01;HMR;None;Signal;9.709e-09;NA;5.978e+00;1.054e+00;2.969e-02;1.445e+00;1.051e+01;None
20220719_2_Trit_C;7.580e+00;9.577e-02;8.043e-03;6.363e+00;8.797e+00;HMR;None;Signal;4.193e-11;NA;6.959e+00;1.280e-01;3.383e-04;6.408e+00;7.510e+00;None
20220719_3_3Spp_A;5.605e+00;1.289e+00;4.900e-02;6.068e-02;1.115e+01;LR;None;Signal;5.127e-08;NA;5.605e+00;1.289e+00;4.900e-02;6.068e-02;1.115e+01;None
20220719_3_3Spp_B;6.494e+00;5.200e+00;4.298e-01;-5.957e+01;7.256e+01;HMR;None;Signal;3.101e-05;NA;4.532e+00;9.230e-01;3.907e-02;5.604e-01;8.504e+00;None
20220719_3_3Spp_C;6.550e+00;4.453e-01;4.321e-02;8.920e-01;1.221e+01;HMR;None;Signal;4.523e-05;NA;4.607e+00;3.706e-01;6.409e-03;3.013e+00;6.202e+00;None
20220719_3_Clover_A;7.423e+00;2.188e-01;1.876e-02;4.643e+00;1.020e+01;HMR;None;Signal;1.411e-06;NA;5.289e+00;4.006e-01;5.689e-03;3.565e+00;7.012e+00;None
20220719_3_Clover_B;6.219e+00;2.150e+00;2.119e-01;-2.110e+01;3.354e+01;HMR;None;Signal;2.487e-05;NA;4.719e+00;4.522e-01;9.059e-03;2.773e+00;6.665e+00;None
20220719_3_Clover_C;4.329e+00;1.340e+00;8.388e-02;-1.435e+00;1.009e+01;LR;None;Signal;2.967e-05;NA;4.329e+00;1.340e+00;8.388e-02;-1.435e+00;1.009e+01;None
20220719_3_Clover_D;5.562e+00;6.874e-01;7.828e-02;-3.172e+00;1.430e+01;HMR;None;Signal;1.939e-04;NA;4.299e+00;2.652e-01;3.783e-03;3.158e+00;5.441e+00;None
20220719_3_Trit_A;0.000e+00;NA;NA;NA;NA;No flux;None;Noise;6.861e-02;NA;2.424e+00;6.463e-01;6.431e-02;-3.569e-01;5.205e+00;None
20220719_3_Trit_B;5.644e+00;5.148e-02;5.806e-03;4.990e+00;6.298e+00;HMR;None;Signal;1.578e-04;NA;4.349e+00;2.482e-01;3.242e-03;3.281e+00;5.417e+00;None
20220719_3_Trit_C;1.025e+01;6.671e-01;4.139e-02;1.769e+00;1.872e+01;HMR;None;Signal;6.336e-07;NA;5.340e+00;8.167e-01;2.260e-02;1.826e+00;8.854e+00;None
20220719_4_3Spp_A;5.077e+00;5.264e-01;1.058e-02;2.812e+00;7.342e+00;LR;None;Signal;3.847e-06;NA;5.077e+00;5.264e-01;1.058e-02;2.812e+00;7.342e+00;None
20220719_4_3Spp_B;5.146e+00;1.109e+00;4.346e-02;3.731e-01;9.919e+00;LR;None;Signal;1.010e-06;NA;5.146e+00;1.109e+00;4.346e-02;3.731e-01;9.919e+00;None
20220719_4_3Spp_C;1.091e+01;3.227e+00;1.831e-01;-3.009e+01;5.190e+01;HMR;None;Signal;3.040e-05;NA;4.479e+00;1.053e+00;5.110e-02;-5.305e-02;9.011e+00;None
20220719_4_Clover_A;4.550e+00;5.765e-01;1.568e-02;2.070e+00;7.031e+00;LR;None;Signal;4.835e-05;NA;4.550e+00;5.765e-01;1.568e-02;2.070e+00;7.031e+00;None
20220719_4_Clover_B;9.823e+00;1.271e+00;8.193e-02;-6.329e+00;2.597e+01;HMR;None;Signal;1.929e-06;NA;5.148e+00;7.682e-01;2.155e-02;1.843e+00;8.453e+00;None
20220719_4_Clover_C;5.947e+00;2.420e+00;1.333e-01;-4.465e+00;1.636e+01;LR;None;Signal;8.622e-11;NA;5.947e+00;2.420e+00;1.333e-01;-4.465e+00;1.636e+01;None
20220719_4_Clover_D;9.632e+00;1.781e+00;1.164e-01;-1.300e+01;3.227e+01;HMR;None;Signal;8.818e-07;NA;5.289e+00;7.868e-01;2.143e-02;1.903e+00;8.674e+00;None
20220719_4_Trit_A;5.002e+00;1.018e+00;3.903e-02;6.207e-01;9.383e+00;LR;None;Signal;2.607e-06;NA;5.002e+00;1.018e+00;3.903e-02;6.207e-01;9.383e+00;None
20220719_4_Trit_B;1.284e+01;2.412e-01;1.196e-02;9.772e+00;1.590e+01;HMR;None;Signal;7.350e-14;NA;7.684e+00;8.980e-01;1.338e-02;3.820e+00;1.155e+01;None
20220719_4_Trit_C;9.001e+00;4.524e-01;3.197e-02;3.252e+00;1.475e+01;HMR;None;Signal;1.023e-09;NA;6.470e+00;4.747e-01;5.340e-03;4.427e+00;8.512e+00;None
20220802_1_3Spp_A;5.593e+00;2.755e+00;2.914e-01;-2.941e+01;4.060e+01;HMR;None;Signal;7.372e-04;NA;3.920e+00;5.519e-01;1.926e-02;1.545e+00;6.294e+00;None
20220802_1_3Spp_B;4.216e+00;3.719e-01;5.601e-02;-5.096e-01;8.942e+00;HMR;None;Signal;1.234e-02;NA;3.194e+00;2.020e-01;3.976e-03;2.325e+00;4.064e+00;None
20220802_1_3Spp_C;5.025e+00;1.146e+00;1.427e-01;-9.532e+00;1.958e+01;HMR;None;Signal;3.363e-03;NA;3.564e+00;3.362e-01;8.784e-03;2.117e+00;5.011e+00;None
20220802_1_Clover_A;0.000e+00;NA;NA;NA;NA;No flux;None;Noise;5.889e-02;NA;2.615e+00;3.148e-01;1.419e-02;1.260e+00;3.969e+00;None
20220802_1_Clover_B;3.618e+00;3.112e-01;7.315e-03;2.279e+00;4.957e+00;LR;None;Signal;2.817e-03;NA;3.618e+00;3.112e-01;7.315e-03;2.279e+00;4.957e+00;None
20220802_1_Clover_C;3.088e+00;7.402e-01;5.295e-02;-9.715e-02;6.272e+00;LR;None;Signal;1.043e-02;NA;3.088e+00;7.402e-01;5.295e-02;-9.715e-02;6.272e+00;None
20220802_1_Clover_D;5.119e+00;1.897e+00;2.260e-01;-1.899e+01;2.923e+01;HMR;None;Signal;9.917e-04;NA;3.883e+00;3.892e-01;9.899e-03;2.208e+00;5.558e+00;None
20220802_1_Trit_A;3.996e+00;1.210e+00;1.871e-01;-1.138e+01;1.937e+01;HMR;None;Signal;2.689e-03;NA;3.642e+00;2.423e-01;4.397e-03;2.599e+00;4.684e+00;None
20220802_1_Trit_B;4.799e+00;2.969e-01;3.804e-03;3.522e+00;6.077e+00;LR;None;Signal;1.894e-05;NA;4.799e+00;2.969e-01;3.804e-03;3.522e+00;6.077e+00;None
20220802_1_Trit_C;0.000e+00;NA;NA;NA;NA;No flux;None;Noise;1.085e-01;NA;2.337e+00;3.664e-01;2.372e-02;7.601e-01;3.913e+00;None
20220802_2_3Spp_A;6.419e+00;3.504e+00;3.181e-01;-3.811e+01;5.095e+01;HMR;None;Signal;8.519e-06;NA;4.892e+00;6.494e-01;1.717e-02;2.098e+00;7.687e+00;None
20220802_2_3Spp_B;3.836e+00;2.482e+00;3.656e-01;-2.770e+01;3.537e+01;HMR;None;Signal;2.846e-03;NA;3.578e+00;4.818e-01;1.766e-02;1.505e+00;5.651e+00;None
20220802_2_3Spp_C;6.288e+00;1.139e+00;1.141e-01;-8.191e+00;2.077e+01;HMR;None;Signal;5.175e-05;NA;4.579e+00;3.633e-01;6.233e-03;3.016e+00;6.142e+00;None
20220802_2_Clover_A;2.928e+00;6.968e-01;5.222e-02;-6.959e-02;5.926e+00;LR;None;Signal;1.768e-02;NA;2.928e+00;6.968e-01;5.222e-02;-6.959e-02;5.926e+00;None
20220802_2_Clover_B;1.047e+01;1.951e+00;1.173e-01;-1.431e+01;3.525e+01;HMR;None;Signal;1.419e-03;NA;3.572e+00;9.754e-01;6.715e-02;-6.250e-01;7.769e+00;None
20220802_2_Clover_C;3.584e+00;1.030e-02;8.268e-06;3.539e+00;3.628e+00;LR;None;Signal;3.506e-03;NA;3.584e+00;1.030e-02;8.268e-06;3.539e+00;3.628e+00;None
20220802_2_Clover_D;0.000e+00;NA;NA;NA;NA;No flux;None;Noise;1.084e-01;NA;2.333e+00;3.780e-01;2.526e-02;7.067e-01;3.960e+00;None
20220802_2_Trit_A;0.000e+00;NA;NA;NA;NA;No flux;None;Noise;1.482e-01;NA;1.865e+00;8.859e-01;1.699e-01;-1.947e+00;5.677e+00;None
20220802_2_Trit_B;5.640e+00;3.721e+00;3.713e-01;-4.164e+01;5.292e+01;HMR;None;Signal;2.538e-05;NA;4.658e+00;6.860e-01;2.101e-02;1.706e+00;7.610e+00;None
20220802_2_Trit_C;3.375e+00;8.092e-01;5.296e-02;-1.068e-01;6.857e+00;LR;None;Signal;3.764e-03;NA;3.375e+00;8.092e-01;5.296e-02;-1.068e-01;6.857e+00;None
20220901_1_3Spp_A;4.365e+00;3.567e+00;4.362e-01;-4.096e+01;4.969e+01;HMR;None;Signal;4.041e-04;NA;4.028e+00;6.870e-01;2.788e-02;1.072e+00;6.984e+00;None
20220901_1_3Spp_B;0.000e+00;NA;NA;NA;NA;No flux;None;Noise;1.474e-01;NA;2.135e+00;5.002e-01;5.073e-02;-1.670e-02;4.287e+00;None
20220901_1_3Spp_C;3.325e+00;9.739e-01;7.614e-02;-8.657e-01;7.515e+00;LR;None;Signal;3.326e-03;NA;3.325e+00;9.739e-01;7.614e-02;-8.657e-01;7.515e+00;None
20220901_1_Clover_A;3.405e+00;4.937e-01;9.166e-02;-2.868e+00;9.678e+00;HMR;None;Signal;4.819e-02;NA;2.722e+00;1.559e-01;3.264e-03;2.051e+00;3.393e+00;None
20220901_1_Clover_B;5.178e+00;1.400e-01;1.721e-02;3.399e+00;6.957e+00;HMR;None;Signal;1.965e-02;NA;3.009e+00;3.708e-01;1.485e-02;1.413e+00;4.604e+00;None
20220901_1_Clover_C;5.886e+00;2.291e+00;2.364e-01;-2.323e+01;3.500e+01;HMR;None;Signal;9.989e-03;NA;3.174e+00;5.677e-01;3.054e-02;7.309e-01;5.617e+00;None
20220901_1_Clover_D;3.310e+00;3.889e-01;7.445e-02;-1.631e+00;8.251e+00;HMR;None;Signal;1.962e-02;NA;3.052e+00;9.088e-02;8.855e-04;2.661e+00;3.443e+00;None
20220901_1_Trit_A;0.000e+00;NA;NA;NA;NA;No flux;None;Noise;1.276e-01;NA;2.303e+00;1.923e-01;6.900e-03;1.475e+00;3.130e+00;None
20220901_1_Trit_B;4.198e+00;5.042e-01;1.412e-02;2.029e+00;6.368e+00;LR;None;Signal;2.485e-04;NA;4.198e+00;5.042e-01;1.412e-02;2.029e+00;6.368e+00;None
20220901_1_Trit_C;3.351e+00;4.805e-01;1.995e-02;1.284e+00;5.419e+00;LR;None;Signal;6.191e-03;NA;3.351e+00;4.805e-01;1.995e-02;1.284e+00;5.419e+00;None
20220901_2_3Spp_A;0.000e+00;NA;NA;NA;NA;No flux;None;Noise;6.761e-02;NA;2.563e+00;2.933e-01;1.284e-02;1.301e+00;3.825e+00;None
20220901_2_3Spp_B;2.872e+00;4.201e-01;2.073e-02;1.064e+00;4.680e+00;LR;None;Signal;2.788e-02;NA;2.872e+00;4.201e-01;2.073e-02;1.064e+00;4.680e+00;None
20220901_2_3Spp_C;6.797e+00;6.124e+00;4.669e-01;-7.102e+01;8.461e+01;HMR;None;Signal;3.743e-03;NA;3.341e+00;8.801e-01;6.291e-02;-4.456e-01;7.128e+00;None
20220901_2_Clover_A;5.272e+00;1.114e+00;1.326e-01;-8.888e+00;1.943e+01;HMR;None;Signal;4.884e-02;NA;2.647e+00;4.599e-01;2.889e-02;6.681e-01;4.626e+00;None
20220901_2_Clover_B;3.565e+00;1.065e+00;7.880e-02;-1.016e+00;8.147e+00;LR;None;Signal;1.211e-03;NA;3.565e+00;1.065e+00;7.880e-02;-1.016e+00;8.147e+00;None
20220901_2_Clover_C;0.000e+00;NA;NA;NA;NA;No flux;None;Noise;2.324e-01;NA;1.879e+00;5.073e-01;6.578e-02;-3.037e-01;4.062e+00;None
20220901_2_Clover_D;0.000e+00;NA;NA;NA;NA;No flux;None;Noise;1.934e-01;NA;2.093e+00;1.988e-01;8.907e-03;1.237e+00;2.948e+00;None
20220901_2_Trit_A;0.000e+00;NA;NA;NA;NA;No flux;None;Noise;5.104e-02;NA;2.705e+00;9.695e-02;1.282e-03;2.288e+00;3.122e+00;None
20220901_2_Trit_B;0.000e+00;NA;NA;NA;NA;No flux;None;Noise;3.039e-01;NA;1.422e+00;8.391e-01;2.322e-01;-2.188e+00;5.033e+00;None
20220901_2_Trit_C;4.007e+00;1.439e+00;2.194e-01;-1.427e+01;2.228e+01;HMR;None;Signal;3.265e-02;NA;2.843e+00;3.085e-01;1.157e-02;1.516e+00;4.170e+00;None
20220901_3_3Spp_A;0.000e+00;NA;NA;NA;NA;No flux;None;Noise;2.336e-01;NA;2.006e+00;7.134e-02;1.262e-03;1.699e+00;2.313e+00;None
20220901_3_3Spp_B;0.000e+00;NA;NA;NA;NA;No flux;None;Noise;1.531e-01;NA;2.228e+00;7.914e-02;1.259e-03;1.888e+00;2.569e+00;None
20220901_3_3Spp_C;3.456e+00;3.867e-01;1.229e-02;1.792e+00;5.119e+00;LR;None;Signal;4.724e-03;NA;3.456e+00;3.867e-01;1.229e-02;1.792e+00;5.119e+00;None
20220901_3_Clover_A;5.150e+00;1.084e+00;1.321e-01;-8.628e+00;1.893e+01;HMR;None;Signal;9.779e-05;NA;4.457e+00;2.405e-01;2.899e-03;3.422e+00;5.492e+00;None
20220901_3_Clover_B;5.652e+00;4.518e-01;5.079e-02;-8.963e-02;1.139e+01;HMR;None;Signal;9.243e-04;NA;3.913e+00;3.239e-01;6.784e-03;2.519e+00;5.307e+00;None
20220901_3_Clover_C;0.000e+00;NA;NA;NA;NA;No flux;None;Noise;2.922e-01;NA;1.744e+00;4.895e-01;7.050e-02;-3.615e-01;3.850e+00;None
20220901_3_Clover_D;0.000e+00;NA;NA;NA;NA;No flux;None;Noise;1.012e-01;NA;2.236e+00;6.636e-01;7.795e-02;-6.196e-01;5.091e+00;None
20220901_3_Trit_A;1.113e+01;1.040e+00;5.929e-02;-2.080e+00;2.435e+01;HMR;None;Signal;4.680e-03;NA;3.205e+00;9.962e-01;8.452e-02;-1.081e+00;7.492e+00;None
20220901_3_Trit_B;3.680e+00;2.777e-01;5.645e-03;2.485e+00;4.875e+00;LR;None;Signal;2.295e-03;NA;3.680e+00;2.777e-01;5.645e-03;2.485e+00;4.875e+00;None
20220901_3_Trit_C;5.904e+00;1.671e+00;1.755e-01;-1.532e+01;2.713e+01;HMR;None;Signal;2.163e-04;NA;4.249e+00;4.219e-01;9.715e-03;2.434e+00;6.064e+00;None
20220901_4_3Spp_A;0.000e+00;NA;NA;NA;NA;No flux;None;Noise;1.410e-01;NA;1.921e+00;8.564e-01;1.541e-01;-1.764e+00;5.606e+00;None
20220901_4_3Spp_B;4.032e+00;1.753e+00;2.611e-01;-1.824e+01;2.631e+01;HMR;None;Signal;8.210e-03;NA;3.300e+00;3.385e-01;1.036e-02;1.844e+00;4.756e+00;None
20220901_4_3Spp_C;7.762e+00;6.016e+00;4.198e-01;-6.868e+01;8.420e+01;HMR;None;Signal;1.640e-02;NA;2.794e+00;9.730e-01;1.029e-01;-1.392e+00;6.981e+00;None
20220901_4_Clover_A;0.000e+00;NA;NA;NA;NA;No flux;None;Noise;4.360e-01;NA;1.209e+00;7.454e-01;2.462e-01;-1.998e+00;4.416e+00;None
20220901_4_Clover_B;0.000e+00;NA;NA;NA;NA;No flux;None;Noise;9.345e-01;NA;3.496e-01;3.753e-01;4.500e-01;-1.265e+00;1.965e+00;None
20220901_4_Clover_C;0.000e+00;NA;NA;NA;NA;No flux;None;Noise;4.772e-01;NA;1.261e+00;6.168e-01;1.776e-01;-1.393e+00;3.915e+00;None
20220901_4_Clover_D;0.000e+00;NA;NA;NA;NA;No flux;None;Noise;8.599e-02;NA;2.113e+00;9.387e-01;1.532e-01;-1.926e+00;6.152e+00;None
20220901_4_Trit_A;4.422e+00;2.619e-01;3.766e-02;1.094e+00;7.749e+00;HMR;None;Signal;3.174e-03;NA;3.604e+00;1.653e-01;2.097e-03;2.893e+00;4.315e+00;None
20220901_4_Trit_B;7.352e+00;2.275e-01;1.969e-02;4.461e+00;1.024e+01;HMR;None;Signal;2.010e-03;NA;3.640e+00;5.983e-01;2.597e-02;1.066e+00;6.214e+00;None
20220901_4_Trit_C;2.791e+00;2.908e-01;1.068e-02;1.540e+00;4.042e+00;LR;None;Signal;3.797e-02;NA;2.791e+00;2.908e-01;1.068e-02;1.540e+00;4.042e+00;None
20220910_1_3Spp_A;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220910_1_3Spp_B;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220910_1_3Spp_C;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220910_1_Clover_A;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220910_1_Clover_B;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220910_1_Clover_C;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220910_1_Clover_D;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220910_1_Trit_A;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220910_1_Trit_B;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220910_1_Trit_C;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220910_2_3Spp_A;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220910_2_3Spp_B;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220910_2_3Spp_C;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220910_2_Clover_A;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220910_2_Clover_B;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220910_2_Clover_C;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220910_2_Clover_D;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220910_2_Trit_A;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220910_2_Trit_B;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220910_2_Trit_C;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220910_3_3Spp_A;4.891e+00;2.367e+00;1.748e-01;-5.295e+00;1.508e+01;LR;None;Signal;4.196e-08;NA;4.891e+00;2.367e+00;1.748e-01;-5.295e+00;1.508e+01;None
20220910_3_3Spp_B;5.079e+00;9.289e-01;3.186e-02;1.082e+00;9.076e+00;LR;None;Signal;2.092e-06;NA;5.079e+00;9.289e-01;3.186e-02;1.082e+00;9.076e+00;None
20220910_3_3Spp_C;0.000e+00;NA;NA;NA;NA;No flux;None;Noise;5.221e-01;NA;1.128e+00;6.529e-01;2.261e-01;-1.681e+00;3.937e+00;None
20220910_3_Clover_A;9.425e+00;4.185e+00;2.660e-01;-4.375e+01;6.260e+01;HMR;None;Signal;1.773e-07;NA;5.556e+00;8.543e-01;2.284e-02;1.880e+00;9.232e+00;None
20220910_3_Clover_B;5.049e+00;1.347e+00;6.435e-02;-7.455e-01;1.084e+01;LR;None;Signal;9.200e-07;NA;5.049e+00;1.347e+00;6.435e-02;-7.455e-01;1.084e+01;None
20220910_3_Clover_C;4.180e+00;1.720e+00;1.357e-01;-3.222e+00;1.158e+01;LR;None;Signal;1.725e-05;NA;4.180e+00;1.720e+00;1.357e-01;-3.222e+00;1.158e+01;None
20220910_3_Clover_D;5.658e+00;4.443e+00;4.238e-01;-5.080e+01;6.211e+01;HMR;None;Signal;2.925e-02;NA;2.714e+00;7.544e-01;6.933e-02;-5.320e-01;5.960e+00;None
