Series;f0;f0.se;f0.p;f0.lo95;f0.up95;Method;Warning;Prefilter;Prefilter.p;SatCrit.Warning;LR.f0;LR.f0.se;LR.f0.p;LR.f0.lo95;LR.f0.up95;LR.Warning
20220615_3_3Spp_A;0.000e+00;NA;NA;NA;NA;No flux;None;Signal;1.047e-03;NA;1.119e+00;2.647e+00;7.136e-01;-1.027e+01;1.251e+01;None
20220615_3_3Spp_B;1.175e+01;1.213e+00;6.552e-02;-3.668e+00;2.716e+01;HMR;None;Signal;1.186e-04;NA;4.163e+00;1.065e+00;5.963e-02;-4.184e-01;8.744e+00;None
20220615_3_3Spp_C;2.617e+00;1.129e+00;1.464e-01;-2.243e+00;7.477e+00;LR;None;Signal;1.896e-02;NA;2.617e+00;1.129e+00;1.464e-01;-2.243e+00;7.477e+00;None
20220615_3_Clover_A;2.032e+01;2.504e+00;7.805e-02;-1.149e+01;5.213e+01;HMR;None;Signal;0.000e+00;NA;1.147e+01;1.508e+00;1.686e-02;4.979e+00;1.795e+01;None
20220615_3_Clover_B;9.896e+00;5.347e-01;3.437e-02;3.102e+00;1.669e+01;HMR;None;Signal;2.510e-11;NA;6.991e+00;5.412e-01;5.939e-03;4.662e+00;9.319e+00;None
20220615_3_Clover_C;7.000e+00;1.422e+00;3.887e-02;8.821e-01;1.312e+01;LR;None;Signal;3.896e-12;NA;7.000e+00;1.422e+00;3.887e-02;8.821e-01;1.312e+01;None
20220615_3_Clover_D;1.370e+01;4.042e+00;1.826e-01;-3.765e+01;6.506e+01;HMR;None;Signal;1.497e-11;NA;6.911e+00;1.157e+00;2.691e-02;1.932e+00;1.189e+01;None
20220615_3_Trit_A;0.000e+00;NA;NA;NA;NA;No flux;None;Noise;5.262e-01;NA;9.998e-01;7.436e-01;3.110e-01;-2.200e+00;4.199e+00;None
20220615_3_Trit_B;1.708e+01;1.727e+01;5.035e-01;-2.024e+02;2.366e+02;HMR;None;Signal;2.696e-06;NA;4.265e+00;2.102e+00;1.796e-01;-4.778e+00;1.331e+01;None
20220615_3_Trit_C;5.428e+00;1.650e+00;1.879e-01;-1.554e+01;2.639e+01;HMR;None;Signal;4.732e-04;NA;4.069e+00;3.859e-01;8.875e-03;2.409e+00;5.730e+00;None
20220615_4_3Spp_A;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220615_4_3Spp_B;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220615_4_3Spp_C;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220615_4_Clover_A;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220615_4_Clover_B;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220615_4_Clover_C;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220615_4_Clover_D;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220615_4_Trit_A;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220615_4_Trit_B;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220615_4_Trit_C;NA;NA;NA;NA;NA;None;Data error;None;NA;NA;NA;NA;NA;NA;NA;Data error
20220623_1_3Spp_A;8.249e+00;1.085e+00;8.323e-02;-5.533e+00;2.203e+01;HMR;None;Signal;1.274e-10;NA;6.789e+00;3.412e-01;2.516e-03;5.321e+00;8.257e+00;None
20220623_1_3Spp_B;1.822e+01;5.358e+00;1.821e-01;-4.986e+01;8.629e+01;HMR;None;Signal;0.000e+00;NA;1.513e+01;1.122e+00;5.448e-03;1.031e+01;1.996e+01;None
